"","title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Anatomie 2 2003","Anatomie 2","2003","101",NA,"5.5","582","R","0","0","0","0","0","0","0"
"Anazahevun 2000","Anazahevun","2000","132",NA,"6.1","211","R","0","0","0","0","0","0","0"
"Anchorman: The Legend of Ron Burgundy 2004","Anchorman: The Legend of Ron Burgundy","2004","104","26000000","6.5","11553","PG-13","0","0","1","0","0","0","0"
"Ancient Evil: Scream of the Mummy 2000","Ancient Evil: Scream of the Mummy","2000","96",NA,"1.9","276","R","0","0","0","0","0","0","0"
"And Now... Ladies and Gentlemen... 2002","And Now... Ladies and Gentlemen...","2002","122",NA,"5.8","413","PG-13","0","0","0","1","0","1","0"
"Angel Eyes 2001","Angel Eyes","2001","102","38000000","5.6","4829","R","0","0","0","1","0","1","0"
"Angel's Dance 1999","Angel's Dance","1999","101",NA,"5.8","333","R","1","0","1","0","0","0","0"
"Anger Management 2003","Anger Management","2003","106","75000000","6.0","14280","PG-13","0","0","1","0","0","0","0"
"Anglaise et le duc, L' 2001","Anglaise et le duc, L'","2001","125",NA,"6.8","604","PG-13","0","0","0","1","0","0","0"
"Animal Factory 2000","Animal Factory","2000","94",NA,"6.5","2118","R","0","0","0","1","0","0","0"
"Animal, The 2001","Animal, The","2001","84","22000000","4.8","5605","R","0","0","1","0","0","0","0"
"Animatrix: Final Flight of the Osiris, The 2003","Animatrix: Final Flight of the Osiris, The","2003","11","5000000","7.6","1536","PG-13","1","1","0","0","0","0","1"
"Anna and the King 1999","Anna and the King","1999","148","75000000","6.6","6739","PG-13","0","0","0","1","0","1","0"
"Anniversary Party, The 2001","Anniversary Party, The","2001","115",NA,"6.4","3057","R","0","0","1","1","0","0","0"
"Antitrust 2001","Antitrust","2001","108","30000000","6.0","7326","PG-13","0","0","0","1","0","0","0"
"Antwone Fisher 2002","Antwone Fisher","2002","117","12500000","7.4","4472","PG-13","0","0","0","1","0","0","0"
"Any Given Sunday 1999","Any Given Sunday","1999","156","62000000","6.4","19531","R","0","0","0","1","0","0","0"
"Anything Else 2003","Anything Else","2003","108","18000000","6.5","3678","R","0","0","1","0","0","1","0"
"Anywhere But Here 1999","Anywhere But Here","1999","114","23000000","5.9","4007","PG-13","0","0","0","1","0","0","0"
"Arachnid 2001","Arachnid","2001","102",NA,"3.6","444","R","0","0","0","0","0","0","0"
"Ararat 2002","Ararat","2002","115",NA,"7.1","3594","R","0","0","0","1","0","0","0"
"Are We There Yet? 2005","Are We There Yet?","2005","95","32000000","3.5","1043","PG","0","0","1","0","0","0","0"
"Arena, The 2001","Arena, The","2001","92",NA,"2.8","119","R","1","0","0","1","0","0","0"
"Arlington Road 1999","Arlington Road","1999","117","21500000","7.1","17189","R","0","0","0","1","0","0","0"
"Around the Bend 2004","Around the Bend","2004","85",NA,"6.0","388","R","0","0","0","1","0","0","0"
"Around the Fire 1999","Around the Fire","1999","106","1200000","5.3","254","R","0","0","0","0","0","0","0"
"Around the World in 80 Days 2004","Around the World in 80 Days","2004","120","110000000","5.7","3887","PG","1","0","1","0","0","1","0"
"Arte de morir, El 2000","Arte de morir, El","2000","102",NA,"6.0","305","R","0","0","0","0","0","0","0"
"Artificial Intelligence: AI 2001","Artificial Intelligence: AI","2001","146","90000000","6.8","36623","PG-13","0","0","0","1","0","0","0"
"Ash Wednesday 2002","Ash Wednesday","2002","98",NA,"5.5","625","R","0","0","0","1","0","0","0"
"Asoka 2001","Asoka","2001","169",NA,"6.5","555","R","1","0","0","1","0","1","0"
"Assassination Tango 2002","Assassination Tango","2002","114",NA,"6.1","611","R","0","0","0","1","0","0","0"
"Assassination of Richard Nixon, The 2004","Assassination of Richard Nixon, The","2004","95",NA,"7.1","1624","R","0","0","0","1","0","0","0"
"Assault on Precinct 13 2005","Assault on Precinct 13","2005","109","20000000","6.3","2960","R","1","0","0","1","0","0","0"
"Astronaut's Wife, The 1999","Astronaut's Wife, The","1999","109","34000000","4.8","7253","R","0","0","0","0","0","0","0"
"At First Sight 1999","At First Sight","1999","128","40000000","5.7","3441","PG-13","0","0","0","1","0","0","0"
"Atanarjuat 2001","Atanarjuat","2001","168",NA,"7.3","1921","R","0","0","0","1","0","0","0"
"Atlantis: The Lost Empire 2001","Atlantis: The Lost Empire","2001","95","90000000","6.4","6323","PG","1","1","0","0","0","0","0"
"Attic Expeditions, The 2001","Attic Expeditions, The","2001","100","1000000","5.4","384","R","0","0","0","0","0","0","0"
"Auberge espagnole, L' 2002","Auberge espagnole, L'","2002","117",NA,"7.3","4273","R","0","0","1","1","0","1","0"
"Auggie Rose 2000","Auggie Rose","2000","109",NA,"6.3","367","R","0","0","0","1","0","0","0"
"Austin Powers in Goldmember 2002","Austin Powers in Goldmember","2002","94","63000000","6.2","22870","PG-13","1","0","1","0","0","0","0"
"Austin Powers: The Spy Who Shagged Me 1999","Austin Powers: The Spy Who Shagged Me","1999","95","33000000","6.5","37019","PG-13","1","0","1","0","0","0","0"
"Auto Focus 2002","Auto Focus","2002","105","7000000","6.7","3276","R","0","0","0","1","0","0","0"
"Autumn in New York 2000","Autumn in New York","2000","103","40000000","4.7","3731","PG-13","0","0","0","1","0","1","0"
"Avalanche 1999","Avalanche","1999","109",NA,"3.7","126","PG-13","1","0","0","0","0","0","0"
"Avalon 2001","Avalon","2001","106","8000000","6.8","2723","R","0","1","0","1","0","0","0"
"Avenging Angelo 2002","Avenging Angelo","2002","96",NA,"4.6","877","R","1","0","1","0","0","0","0"
"Aviator, The 2004","Aviator, The","2004","170","116000000","7.5","16217","PG-13","0","0","0","1","0","0","0"
"Baby Boy 2001","Baby Boy","2001","130","16000000","6.2","1476","R","0","0","0","1","0","1","0"
"Baby Geniuses 1999","Baby Geniuses","1999","97","13000000","2.4","3142","PG","0","0","1","0","0","0","0"
"Bachelor, The 1999","Bachelor, The","1999","101","21000000","5.0","4183","PG-13","0","0","1","0","0","1","0"
"BachelorMan 2003","BachelorMan","2003","87",NA,"5.1","101","R","0","0","1","0","0","0","0"
"Back Lot Murders, The 2002","Back Lot Murders, The","2002","90",NA,"3.7","119","R","0","0","1","0","0","0","0"
"Backyard Dogs 2000","Backyard Dogs","2000","96",NA,"1.9","1304","R","1","0","0","1","0","0","0"
"Bad Boys II 2003","Bad Boys II","2003","145","130000000","6.1","13087","R","1","0","1","0","0","0","0"
"Bad Company 2002","Bad Company","2002","116","70000000","5.4","6175","PG-13","1","0","1","0","0","0","0"
"Bad Karma 2002","Bad Karma","2002","92",NA,"4.0","174","R","0","0","0","0","0","0","0"
"Bad Santa 2003","Bad Santa","2003","98","18000000","7.2","11189","R","0","0","1","0","0","0","0"
"Badge, The 2002","Badge, The","2002","103","6000000","6.3","740","R","1","0","0","1","0","0","0"
"Bait 2000","Bait","2000","119","35000000","5.6","1884","R","1","0","1","0","0","0","0"
"Ballad of Jack and Rose, The 2005","Ballad of Jack and Rose, The","2005","112","1500000","6.2","269","R","0","0","0","1","0","0","0"
"Ballad of Ramblin' Jack, The 2000","Ballad of Ramblin' Jack, The","2000","112",NA,"7.9","108","PG-13","0","0","0","0","1","0","0"
"Ballistic: Ecks vs. Sever 2002","Ballistic: Ecks vs. Sever","2002","91","70000000","3.4","4556","R","1","0","0","0","0","0","0"
"Bamboozled 2000","Bamboozled","2000","135","10000000","6.3","2356","R","0","0","1","1","0","0","0"
"Bandits 2001","Bandits","2001","123","80000000","6.7","12382","PG-13","0","0","1","1","0","1","0"
"Banger Sisters, The 2002","Banger Sisters, The","2002","98","10000000","5.6","3189","R","0","0","1","1","0","0","0"
"Bangkok Dangerous 1999","Bangkok Dangerous","1999","105",NA,"6.5","651","R","1","0","0","0","0","1","0"
"Baran 2001","Baran","2001","94",NA,"7.8","733","PG","0","0","0","1","0","1","0"
"Barbershop 2002","Barbershop","2002","102","12000000","6.6","4943","PG-13","0","0","1","1","0","0","0"
"Barbershop 2: Back in Business 2004","Barbershop 2: Back in Business","2004","106","18000000","5.7","1580","PG-13","0","0","1","0","0","0","0"
"Bark! 2002","Bark!","2002","100",NA,"4.3","198","R","0","0","1","0","0","0","0"
"Bartleby 2001","Bartleby","2001","83",NA,"6.1","434","PG-13","0","0","1","1","0","0","0"
"Basic 2003","Basic","2003","98","50000000","6.2","8370","R","0","0","0","1","0","0","0"
"Basket, The 1999","Basket, The","1999","105","3000000","6.3","200","PG","0","0","0","1","0","0","0"
"Battle of Shaker Heights, The 2003","Battle of Shaker Heights, The","2003","90","1000000","6.0","854","PG-13","0","0","1","1","0","1","0"
"BattleQueen 2020 2001","BattleQueen 2020","2001","95",NA,"2.9","116","R","1","0","0","0","0","0","0"
"Battlefield Earth: A Saga of the Year 3000 2000","Battlefield Earth: A Saga of the Year 3000","2000","119","73000000","2.4","14970","PG-13","1","0","0","0","0","0","0"
"Be Cool 2005","Be Cool","2005","118","53000000","5.5","4560","PG-13","0","0","1","0","0","0","0"
"Beach, The 2000","Beach, The","2000","119","50000000","5.8","15020","R","0","0","0","1","0","0","0"
"Beat 2000","Beat","2000","93",NA,"5.3","279","R","0","0","0","1","0","0","0"
"Beautiful 2000","Beautiful","2000","112","9000000","5.3","991","PG-13","0","0","1","1","0","0","0"
"Beautiful Country, The 2004","Beautiful Country, The","2004","137","6000000","6.9","115","R","0","0","0","1","0","0","0"
"Beautiful Creatures 2000","Beautiful Creatures","2000","86",NA,"5.8","706","R","0","0","1","1","0","0","0"
"Beautiful Joe 2000","Beautiful Joe","2000","98",NA,"5.7","524","R","0","0","1","1","0","1","0"
"Beautiful Mind, A 2001","Beautiful Mind, A","2001","135","60000000","7.8","43291","PG-13","0","0","0","1","0","0","0"
"Beautiful People 1999","Beautiful People","1999","107",NA,"7.0","906","R","0","0","1","0","0","0","0"
"Beauty Shop 2005","Beauty Shop","2005","104",NA,"4.6","518","PG-13","0","0","1","0","0","0","0"
"Because of Winn-Dixie 2005","Because of Winn-Dixie","2005","106","14000000","5.9","483","PG","0","0","1","1","0","0","0"
"Bedazzled 2000","Bedazzled","2000","93","48000000","5.9","11439","PG-13","0","0","1","0","0","0","0"
"Before Night Falls 2000","Before Night Falls","2000","133",NA,"7.2","3608","R","0","0","0","1","0","0","0"
"Before Sunset 2004","Before Sunset","2004","80","10000000","8.3","8789","R","0","0","0","1","0","1","0"
"Behind Enemy Lines 2001","Behind Enemy Lines","2001","106","40000000","6.1","10856","PG-13","1","0","0","1","0","0","0"
"Behind the Red Door 2002","Behind the Red Door","2002","105",NA,"7.0","336","R","0","0","0","1","0","0","0"
"Being Julia 2004","Being Julia","2004","104","18000000","7.2","1671","R","0","0","1","1","0","0","0"
"Believer, The 2001","Believer, The","2001","98",NA,"7.3","3327","R","0","0","0","1","0","0","0"
"Bella Martha 2001","Bella Martha","2001","109",NA,"7.4","1585","PG","0","0","1","1","0","1","0"
"Belly of the Beast 2003","Belly of the Beast","2003","91","18000000","4.2","638","R","1","0","0","0","0","0","0"
"Below 2002","Below","2002","105",NA,"6.3","3175","R","0","0","0","0","0","0","0"
"Bend It Like Beckham 2002","Bend It Like Beckham","2002","115",NA,"7.3","14437","PG-13","0","0","1","1","0","1","0"
"Beneath Loch Ness 2001","Beneath Loch Ness","2001","96",NA,"2.7","233","PG-13","1","0","0","0","0","0","0"
"Beowulf 1999","Beowulf","1999","99","20000000","3.7","2058","R","1","0","0","0","0","0","0"
"Best Laid Plans 1999","Best Laid Plans","1999","92","7000000","6.3","1795","R","0","0","0","1","0","0","0"
"Best Thief in the World, The 2004","Best Thief in the World, The","2004","93",NA,"2.7","113","R","0","0","1","1","0","0","0"
"Best Two Years, The 2003","Best Two Years, The","2003","112",NA,"7.0","174","PG","0","0","1","0","0","0","0"
"Best in Show 2000","Best in Show","2000","90","6000000","7.5","11790","PG-13","0","0","1","0","0","0","0"
"Better Luck Tomorrow 2002","Better Luck Tomorrow","2002","98","250000","7.3","2697","R","0","0","0","1","0","0","0"
"Better Than Chocolate 1999","Better Than Chocolate","1999","102",NA,"6.3","1513","R","0","0","1","0","0","1","0"
"Better Than Sex 2000","Better Than Sex","2000","80",NA,"6.3","527","R","0","0","1","0","0","1","0"
"Better Way to Die, A 2000","Better Way to Die, A","2000","97",NA,"5.6","458","R","1","0","0","0","0","0","0"
"Between Strangers 2002","Between Strangers","2002","95",NA,"6.1","204","R","0","0","0","1","0","0","0"
"Beyond Borders 2003","Beyond Borders","2003","127","35000000","5.4","1905","R","0","0","0","1","0","1","0"
"Beyond Re-Animator 2003","Beyond Re-Animator","2003","96","3000000","6.1","908","R","0","0","1","0","0","0","0"
"Beyond the City Limits 2001","Beyond the City Limits","2001","91",NA,"4.5","219","R","0","0","0","1","0","0","0"
"Beyond the Mat 1999","Beyond the Mat","1999","108","500000","7.3","2243","R","0","0","0","0","1","0","0"
"Beyond the Sea 2004","Beyond the Sea","2004","118","24000000","6.7","1051","PG-13","0","0","0","1","0","0","0"
"Bicentennial Man 1999","Bicentennial Man","1999","132","100000000","6.2","8925","PG","0","0","0","1","0","1","0"
"Big Bad Love 2001","Big Bad Love","2001","111",NA,"5.6","189","R","0","0","0","1","0","0","0"
"Big Bounce, The 2004","Big Bounce, The","2004","88","50000000","4.7","2505","PG-13","0","0","1","0","0","0","0"
"Big Brass Ring, The 1999","Big Brass Ring, The","1999","104","7000000","5.4","271","R","0","0","0","1","0","0","0"
"Big Daddy 1999","Big Daddy","1999","93","34200000","5.9","18258","PG-13","0","0","1","0","0","0","0"
"Big Eden 2000","Big Eden","2000","117",NA,"7.4","842","PG-13","0","0","0","1","0","1","0"
"Big Empty, The 2003","Big Empty, The","2003","94",NA,"5.9","696","R","0","0","1","1","0","0","0"
"Big Fat Liar 2002","Big Fat Liar","2002","88","15000000","5.5","2453","PG","0","0","1","0","0","0","0"
"Big Fish 2003","Big Fish","2003","125","70000000","8.1","31525","PG-13","0","0","1","1","0","0","0"
"Big Kahuna, The 1999","Big Kahuna, The","1999","90",NA,"6.6","3724","R","0","0","1","1","0","0","0"
"Big Momma's House 2000","Big Momma's House","2000","98","30000000","4.7","7509","PG-13","0","0","1","0","0","0","0"
"Big Tease, The 1999","Big Tease, The","1999","86","4000000","6.1","670","R","0","0","1","0","0","0","0"
"Big Trouble 2002","Big Trouble","2002","85","40000000","6.4","4088","PG-13","0","0","1","0","0","0","0"
"Biggie and Tupac 2002","Biggie and Tupac","2002","108",NA,"6.9","465","R","0","0","0","0","1","0","0"
"Biker Boyz 2003","Biker Boyz","2003","110",NA,"4.0","1580","PG-13","1","0","0","1","0","0","0"
"Billy Elliot 2000","Billy Elliot","2000","110","5000000","7.7","16725","R","0","0","0","1","0","0","0"
"Bin-jip 2004","Bin-jip","2004","95",NA,"8.0","886","R","0","0","0","1","0","1","0"
"Birth 2004","Birth","2004","100","20000000","6.0","2600","R","0","0","0","1","0","1","0"
"Birthday Girl 2001","Birthday Girl","2001","93","13000000","6.1","5340","R","0","0","1","1","0","1","0"
"Bizita Q 2001","Bizita Q","2001","84",NA,"7.1","1327","R","0","0","1","1","0","0","0"
"Black Cadillac 2003","Black Cadillac","2003","93",NA,"5.7","346","R","0","0","0","0","0","0","0"
"Black Hawk Down 2001","Black Hawk Down","2001","142","90000000","7.6","32530","R","1","0","0","1","0","0","0"
"Black Knight 2001","Black Knight","2001","95","50000000","4.1","3822","PG-13","0","0","1","0","0","0","0"
"Black Point 2001","Black Point","2001","100",NA,"5.1","127","R","1","0","0","1","0","0","0"
"Black and White 1999","Black and White","1999","98","10000000","5.2","1699","R","0","0","0","1","0","0","0"
"BlackMale 2000","BlackMale","2000","90",NA,"4.4","129","R","0","0","0","0","0","0","0"
"Blackball 2003","Blackball","2003","96",NA,"5.1","405","R","0","0","1","1","0","0","0"
"Blacktop 2000","Blacktop","2000","100","3500000","4.7","192","R","0","0","0","0","0","0","0"
"Blackwoods 2002","Blackwoods","2002","90",NA,"5.0","179","R","0","0","0","1","0","0","0"
"Blade II 2002","Blade II","2002","108","55000000","6.6","17139","R","1","0","0","0","0","0","0"
"Blade: Trinity 2004","Blade: Trinity","2004","124","65000000","5.7","7439","R","1","0","0","0","0","0","0"
"Blair Witch Project, The 1999","Blair Witch Project, The","1999","86","35000","6.1","39814","R","0","0","0","0","0","0","0"
"Blast from the Past 1999","Blast from the Past","1999","112","35000000","6.4","9483","PG-13","0","0","1","1","0","1","0"
